,Ex,filename,filepath,gtpath,LCDP
a1290-_MG_7809,-1,a1290-_MG_7809.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1290-_MG_7809.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1290-_MG_7809.png,LCDP
a0020-jmac_MG_6225,1,a0020-jmac_MG_6225.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0020-jmac_MG_6225.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0020-jmac_MG_6225.png,LCDP
r1e9ae164t,-1,r1e9ae164t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r1e9ae164t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r1e9ae164t.png,LCDP
a3212-_MG_1504,-1,a3212-_MG_1504.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3212-_MG_1504.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3212-_MG_1504.png,LCDP
r1bca2388t,-1,r1bca2388t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r1bca2388t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r1bca2388t.png,LCDP
a2970-kme_123,-1,a2970-kme_123.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2970-kme_123.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2970-kme_123.png,LCDP
a1188-MB_080329_068,-1,a1188-MB_080329_068.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1188-MB_080329_068.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1188-MB_080329_068.png,LCDP
r652d8a6bt,-1,r652d8a6bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r652d8a6bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r652d8a6bt.png,LCDP
a0172-jmac_DSC3528,-1,a0172-jmac_DSC3528.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0172-jmac_DSC3528.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0172-jmac_DSC3528.png,LCDP
r7b10b3f8t,-1,r7b10b3f8t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r7b10b3f8t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r7b10b3f8t.png,LCDP
a2312-IMG_4734,1,a2312-IMG_4734.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2312-IMG_4734.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2312-IMG_4734.png,LCDP
rb32460f4t,1,rb32460f4t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rb32460f4t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rb32460f4t.png,LCDP
a2718-IMG_4822,1,a2718-IMG_4822.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2718-IMG_4822.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2718-IMG_4822.png,LCDP
a4179-kme_183,-1,a4179-kme_183.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4179-kme_183.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4179-kme_183.png,LCDP
rea77734ct,-1,rea77734ct.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rea77734ct.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rea77734ct.png,LCDP
a2842-_DSC2876,1,a2842-_DSC2876.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2842-_DSC2876.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2842-_DSC2876.png,LCDP
a3926-dgw_077,-1,a3926-dgw_077.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3926-dgw_077.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3926-dgw_077.png,LCDP
a0879-jmac_MG_0200,-1,a0879-jmac_MG_0200.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0879-jmac_MG_0200.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0879-jmac_MG_0200.png,LCDP
