,Ex,filename,filepath,gtpath,MSEC
0,0,a1351-jn_2007_05_14__770_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1351-jn_2007_05_14__770_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1351-jn_2007_05_14__770.jpg,MSEC
1,-1,a1351-jn_2007_05_14__770_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1351-jn_2007_05_14__770_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1351-jn_2007_05_14__770.jpg,MSEC
2,-1,a1351-jn_2007_05_14__770_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1351-jn_2007_05_14__770_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1351-jn_2007_05_14__770.jpg,MSEC
3,1,a1351-jn_2007_05_14__770_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1351-jn_2007_05_14__770_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1351-jn_2007_05_14__770.jpg,MSEC
4,1,a1351-jn_2007_05_14__770_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1351-jn_2007_05_14__770_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1351-jn_2007_05_14__770.jpg,MSEC
5,0,a0960-IMG_0082_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0960-IMG_0082_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0960-IMG_0082.jpg,MSEC
6,-1,a0960-IMG_0082_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0960-IMG_0082_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0960-IMG_0082.jpg,MSEC
7,-1,a0960-IMG_0082_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0960-IMG_0082_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0960-IMG_0082.jpg,MSEC
8,1,a0960-IMG_0082_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0960-IMG_0082_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0960-IMG_0082.jpg,MSEC
9,1,a0960-IMG_0082_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0960-IMG_0082_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0960-IMG_0082.jpg,MSEC
10,0,a1055-IMG_4473_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1055-IMG_4473_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1055-IMG_4473.jpg,MSEC
11,-1,a1055-IMG_4473_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1055-IMG_4473_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1055-IMG_4473.jpg,MSEC
12,-1,a1055-IMG_4473_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1055-IMG_4473_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1055-IMG_4473.jpg,MSEC
