,Ex,filename,filepath,gtpath,SICEV2
26,-1,26.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/26.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/26.JPG,SICEV2
26,1,26.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/26.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/26.JPG,SICEV2
555,-1,555.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/555.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/555.JPG,SICEV2
555,1,555.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/555.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/555.JPG,SICEV2
185,-1,185.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/185.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/185.JPG,SICEV2
185,1,185.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/185.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/185.JPG,SICEV2
487,-1,487.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/487.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/487.JPG,SICEV2
487,1,487.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/487.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/487.JPG,SICEV2
396,-1,396.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/396.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/396.JPG,SICEV2
396,1,396.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/396.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/396.JPG,SICEV2
352,-1,352.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/352.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/352.JPG,SICEV2
352,1,352.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/352.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/352.JPG,SICEV2
30,-1,30.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/30.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/30.JPG,SICEV2
